host_name,planet_name,disposition,orbital_period_days,semi_major_axis_au,eccentricity,inclination_deg,planet_radius_re,planet_radius_rj,planet_mass_me,planet_mass_mj,planet_density_gcm3,transit_depth_ppm,tansit_duration_hrs,impact_parameter,a_over_rstar,radius_ratio,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_density_cgs,stellar_luminosity_lsun,stellar_age_gyr,stellar__rot_period_days,planet_insolation_earth,planet_eq_temp_k,ra_deg,dec_deg,pm_ra_masyr,pm_dec_masyr,parallax_mas,distance_pc,snr_model,snr_single_event,snr_multi_event,depth_source_unit,source_catalog
K04337.01,,CONFIRMED,8.18504859,0.0794,0.0,86.83,0.93,,,,,97.6,4.673,0.601,10.88,0.00943,5984.0,4.521,-0.2,0.906,0.993,0.36344,,,,149.41,892.0,296.51666,44.608608,,,,,12.5,3.9809718,11.022991,97.6,kepler
K04338.01,,FALSE POSITIVE,10.78438513,0.1089,0.0,84.03,75.04,,,,,233.6,1.408,1.18,11.34,0.195495,5575.0,3.516,-0.38,3.515,1.48,0.23723,,,,900.7,1397.0,299.20667,45.64547,,,,,15.6,4.308102,12.220875,233.6,kepler
K02585.02,,CONFIRMED,10.42317343,0.0905,0.0,87.72,1.07,,,,,71.2,2.341,0.811,20.41,0.008625,5767.0,4.287,-0.14,1.135,0.91,1.48008,,,,155.7,901.0,288.66077,43.36808,,,,,11.2,3.133254,8.874426,71.2,kepler
K04339.01,,FALSE POSITIVE,0.566804221,0.0115,0.0,61.27,0.85,,,,,166.0,4.639,0.536,1.115,0.012113,5277.0,4.625,-1.0,0.64,0.628,0.08168,,,,2149.42,1737.0,291.58682,42.827621,,,,,31.0,3.4676988,11.398456,166.0,kepler
K04340.01,,FALSE POSITIVE,2.022658,0.0318,0.0,84.41,1.15,,,,,135.7,3.343,0.419,4.31,0.010856,6091.0,4.487,-0.14,0.967,1.045,0.36898,,,,1139.1,1482.0,293.6228,41.966492,,,,,17.4,3.6020813,15.26167,135.7,kepler
K04404.01,,FALSE POSITIVE,316.57747,0.9079,0.0,89.95,1.47,,,,,269.1,14.64,0.2569,162.2,0.015014,5822.0,4.529,-0.06,0.898,0.994,0.80586,,,,1.01,255.0,294.73132,43.989361,,,,,10.2,,,269.1,kepler
K07679.01,,CANDIDATE,1.8679943,0.0286,0.0,89.24,0.7,,,,,73.4,1.087,0.173,13.05,0.007812,5487.0,4.568,-0.08,0.815,0.899,12.03987,,,,658.77,1291.0,290.88486,39.115921,,,,,10.0,4.2742686,7.4732122,73.4,kepler
K04405.01,,CANDIDATE,8.9172863,0.0853,0.0,89.77,1.39,,,,,196.3,4.468,0.062,15.43,0.012876,6210.0,4.467,-0.24,0.986,1.035,0.87317,,,,177.84,931.0,296.896,48.04726,,,,,7.2,3.8328545,11.470666,196.3,kepler
K04406.01,,FALSE POSITIVE,0.519437968,0.013,0.0,17.3,20.48,,,,,226.2,2.129,1.172,1.227,0.186382,6181.0,4.464,-0.14,1.006,1.074,0.12956,,,,7822.62,2402.0,299.08536,40.774529,,,,,25.4,5.178506,13.164155,226.2,kepler
K04407.01,,CANDIDATE,1.33807075,0.0257,0.0,89.97,0.6,,,,,20.2,1.425,0.003,7.22,0.004143,6355.0,4.299,0.16,1.319,1.269,3.98392,,,,3844.97,2008.0,301.15656,44.379532,,,,,8.5,3.9515548,10.939487,20.2,kepler
K04408.01,,FALSE POSITIVE,1.105095798,0.0197,0.0,84.67,0.89,,,,,141.7,2.624,0.295,3.175,0.010809,5296.0,4.604,-0.2,0.752,0.835,0.49578,,,,1025.9,1445.0,293.82782,48.054241,,,,,17.4,3.7242644,8.456129,141.7,kepler
K04201.01,,FALSE POSITIVE,245.01902,0.7796,0.0,89.95,1.98,,,,,375.9,8.56,0.3471,209.3,0.017977,6167.0,4.451,-0.14,1.01,1.046,2.89118,,,,2.17,310.0,290.62659,41.490959,,,,,10.1,,,375.9,kepler
K04202.01,,CONFIRMED,153.979362,0.552,0.0,89.98,2.53,,,,,792.5,9.028,0.036,133.6,0.025664,5858.0,4.502,-0.2,0.903,0.944,1.90062,,,,2.82,330.0,286.69522,40.291809,,,,,16.1,6.1083355,14.797884,792.5,kepler
K07684.01,,FALSE POSITIVE,10.2239787,0.1279,0.0,89.36,24.43,,,,,213.5,1.814,0.439,39.3,0.013298,4673.0,2.412,0.21,16.823,2.666,11.00954,,,,7383.41,2364.0,286.77161,39.266941,,,,,6.5,3.7795987,8.892335,213.5,kepler
K02433.03,,CONFIRMED,56.4148314,0.3024,0.0,87.94,2.9,,,,,480.1,8.075,0.908,25.2,0.023849,6325.0,4.409,-0.04,1.112,1.157,0.09557,,,,19.37,535.0,294.33847,50.33654,,,,,16.4,4.4771957,11.664873,480.1,kepler
K04203.01,,FALSE POSITIVE,2.18079098,0.0405,0.0,54.35,3.29,,,,,83.2,12.13,0.74,1.269,0.009013,6911.0,3.661,-0.12,3.339,1.865,0.00813,,,,13876.96,2767.0,286.04739,38.979851,,,,,69.3,3.3694663,10.947229,83.2,kepler
K04204.01,,CONFIRMED,20.9254083,0.1499,0.0,89.51,1.26,,,,,109.0,6.783,0.201,23.32,0.00951,5821.0,4.283,0.1,1.21,1.025,0.54814,,,,66.95,729.0,289.18265,47.873379,,,,,15.5,4.40756,11.433498,109.0,kepler
K02498.02,,CONFIRMED,13.0600399,0.1006,0.0,89.08,0.8,,,,,106.8,2.851,0.495,30.81,0.009582,5168.0,4.566,-0.12,0.769,0.793,3.24406,,,,37.3,630.0,291.62878,41.208599,,,,,12.5,3.1528468,9.569488,106.8,kepler
K04271.01,,FALSE POSITIVE,0.641069613,0.0143,0.0,89.27,0.86,,,,,78.6,1.033,0.061,4.81,0.008191,6077.0,4.451,-0.34,0.961,0.953,5.11696,,,,5512.38,2196.0,299.60825,41.268341,,,,,10.5,3.8444114,11.339991,78.6,kepler
K07690.01,,FALSE POSITIVE,2.2430415,0.0334,0.0,88.22,0.89,,,,,101.1,3.63,0.147,4.75,0.009195,5897.0,4.531,-0.16,0.891,0.983,0.40304,,,,770.18,1344.0,296.63315,39.327141,,,,,8.1,3.193462,7.389189,101.1,kepler
K04272.01,,FALSE POSITIVE,1.21475168,0.0265,0.0,70.93,5.5,,,,,266.1,6.93,0.461,1.41,0.015361,6732.0,3.632,-0.14,3.276,1.676,0.0359,,,,28091.85,3302.0,299.08658,45.776821,,,,,7.9,4.417196,13.887757,266.1,kepler
K04273.01,,CANDIDATE,17.3731821,0.141,0.0,89.66,1.31,,,,,71.7,3.36,0.227,38.8,0.007795,6180.0,4.155,0.07,1.54,1.237,3.6564,,,,155.73,901.0,294.20984,46.479969,,,,,14.0,4.438975,12.474595,71.7,kepler
